stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
50881,,"Yellow Brick Rd & Crosstown Blvd","Near side N",  44.799097, -93.594542,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=50881,0,1
509,,"Lincoln Dr & Waterford Court","Far side N",  44.892391, -93.398092,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=509,0,1
5090,,"McMenemy St & #1770","Near side N",  44.995005, -93.086268,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5090,0,1
5091,,"McMenemy St & #1860","Near side N",  44.997109, -93.086294,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5091,0,1
5093,,"McMenemy St & Roselawn Ave","Near side N",  44.998950, -93.086316,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5093,0,1
5094,,"McMenemy St & Skillman Ave","Near side N",  45.002531, -93.086379,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5094,0,1
5095,,"Skillman Ave & Arkwright St","Near side E",  45.002615, -93.084024,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5095,0,1
50959,,"Hundertmark Rd & Village Rd","Across from E",  44.819666, -93.608413,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=50959,0,1
5097,,"Skillman Ave & Desoto St","Near side E",  45.002636, -93.081507,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5097,0,1
5098,,"Skillman Ave & Bradley St","Near side E",  45.002706, -93.078966,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5098,0,1
5099,,"Skillman Ave & Edgerton St","Near side E",  45.002669, -93.076421,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5099,0,1
51,,"Chicago Ave S & 32nd St E","Near side S",  44.944833, -93.262711,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51,0,1
510,,"Lincoln Dr & Edina West Apts","Far side N",  44.893342, -93.399299,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=510,0,1
5100,,"Edgerton St & Co Rd B","Near side N",  45.006264, -93.076263,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5100,0,1
5101,,"Edgerton St & Trinity Baptist Church","Across from N",  45.007551, -93.076273,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5101,0,1
51017,,"College View Dr & Hennepin Tech College","Near side S",  44.835952, -93.442972,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51017,0,1
51025,,"Excelsior Blvd & 17th Ave S","Far side E",  44.920773, -93.421262,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51025,0,1
51026,,"Excelsior Blvd & 12th Ave / 11th Ave S","Mid block E",  44.920760, -93.414852,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51026,0,1
51029,,"Excelsior Blvd & 13th Ave S","Far side W",  44.920959, -93.416857,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51029,0,1
5103,,"Edgerton St & Co Rd B","Near side S",  45.006445, -93.076410,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5103,0,1
51030,,"Excelsior Blvd & Hopkins Public Works","Near side W",  44.920965, -93.421133,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51030,0,1
5104,,"Edgerton St & Skillman Ave","Near side S",  45.002818, -93.076371,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5104,0,1
51041,,"Silver Lake Rd & 32nd Ave NE","Near side N",  45.025823, -93.217973,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51041,0,1
51042,,"Silver Lake Rd & 32nd Ave NE","Near side S",  45.026039, -93.218128,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51042,0,1
51045,,"Hampshire Ave S & 110th St W","Near side S",  44.803448, -93.368920,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51045,0,1
